player;club;position;minutes;cluster
Eddie Nketiah;Crystal Palace;FW,MF;1,034;2
Ismaila Sarr;Crystal Palace;MF;2,711;2
Jean-Philippe Mateta;Crystal Palace;FW;2,648;2
Beto;Everton;FW;1,534;2
Dominic Calvert-Lewin;Everton;FW;1,609;2
Dwight McNeil;Everton;MF,FW;1,371;2
Iliman Ndiaye;Everton;FW;2,430;2
Adama Traoré;Fulham;FW,MF;1,772;2
Alex Iwobi;Fulham;FW,MF;2,981;2
Harry Wilson;Fulham;FW,MF;1,162;2
Raúl Jiménez;Fulham;FW;2,494;2
Liam Delap;Ipswich Town;FW;2,593;2
Facundo Buonanotte;Leicester City;FW,MF;1,523;2
Jamie Vardy;Leicester City;FW;2,823;2
Cody Gakpo;Liverpool;FW;1,935;2
Darwin Núñez;Liverpool;FW;1,133;2
Diogo Jota;Liverpool;FW;1,196;2
Dominik Szoboszlai;Liverpool;MF;2,491;2
Luis Díaz;Liverpool;FW;2,399;2
Mohamed Salah;Liverpool;FW;3,371;2
Erling Haaland;Manchester City;FW;2,736;2
Jeremy Doku;Manchester City;FW,MF;1,516;2
Kevin De Bruyne;Manchester City;MF,FW;1,702;2
Omar Marmoush;Manchester City;FW,MF;1,175;2
Phil Foden;Manchester City;MF,FW;1,777;2
Sávio;Manchester City;FW,MF;1,766;2
Alejandro Garnacho;Manchester Utd;MF,FW;2,199;2
Amad Diallo;Manchester Utd;MF,FW;1,901;2
Bruno Fernandes;Manchester Utd;MF;3,018;2
Alexander Isak;Newcastle Utd;FW;2,756;2
Anthony Gordon;Newcastle Utd;FW,MF;2,434;2
Harvey Barnes;Newcastle Utd;FW;1,755;2
Jacob Murphy;Newcastle Utd;FW;2,360;2
Anthony Elanga;Nott'ham Forest;FW,MF;2,501;2
Chris Wood;Nott'ham Forest;FW;2,959;2
Morgan Gibbs-White;Nott'ham Forest;MF;2,803;2
Brennan Johnson;Tottenham;FW;2,177;2
Dejan Kulusevski;Tottenham;MF,FW;2,389;2
Dominic Solanke;Tottenham;FW;2,201;2
James Maddison;Tottenham;MF;1,809;2
Son Heung-min;Tottenham;FW;2,110;2
Jarrod Bowen;West Ham;FW,MF;2,973;2
Mohammed Kudus;West Ham;FW,MF;2,590;2
Tomáš Souček;West Ham;MF;2,567;2
Jørgen Strand Larsen;Wolves;FW;2,587;2
Matheus Cunha;Wolves;MF,FW;2,597;2
